,name,Latitude,Longitude,free_bikes,Name,Category
0,Cours Jean Ballard,43.29300892,5.374584208,0.0,,bike station
1,Allées Gambetta,43.29902797,5.381509226,0.0,,bike station
2,Réformés Canebière,43.29971664630074,5.384845163546515,0.0,,bike station
3,Coutellerie,43.29679958,5.372909688,0.0,,bike station
4,Canebiere - Beauvau,43.29527892,5.375048465,0.0,,bike station
5,Colbert Ste Barbe,43.299242645590766,5.374807305735999,0.0,,bike station
6,Centre Bourse,43.29693502454282,5.376544207099414,0.0,,bike station
7,Saint-Ferréol - Davso,43.29360042,5.378349882,1.0,,bike station
8,Flammarion - Isoard,43.3042781513621,5.388867929313619,0.0,,bike station
9,Longchamp - Grobet,43.30299233959067,5.39213628647542,0.0,,bike station
10,Vallon de l’Oriol,43.27617976729073,5.361008732708797,0.0,,bike station
11,Grand Rue,43.29777432269154,5.370874697052955,0.0,,bike station
12,Quai du Port,43.29573017,5.367354992,0.0,,bike station
13,Place de Lenche,43.29716293,5.365865775,0.0,,bike station
14,Place aux huiles,43.293258515940494,5.371585560104336,0.0,,bike station
15,Canebiere Reine Elisabeth,43.29574849,5.375219826,1.0,,bike station
16,La Major,43.29920885202967,5.365546894429258,0.0,,bike station
17,MUCEM,43.29843273,5.362774233,0.0,,bike station
18,Sainte - Lulli,43.29266329418829,5.376388862887325,0.0,,bike station
19,Académie - Capucins,43.29601993155862,5.381084217359557,0.0,,bike station
20,Canebière - Dugommier,43.29803718,5.381065715,0.0,,bike station
21,Paris - Forbin,43.30598899,5.372249573,0.0,,bike station
22,Sibie - Curiol,43.29528961,5.385580554,2.0,,bike station
23,Euromediterrannee Gantes,43.30907565,5.368464875,1.0,,bike station
24,Arenc - Chanterac,43.31223933,5.368561815,3.0,,bike station
25,Tour La Marseillaise,43.31339141270814,5.367060274332289,1.0,,bike station
26,Schuman - Leca,43.30193874,5.366285878,0.0,,bike station
27,Ferry-Nédelec,43.30278357,5.377157667,0.0,,bike station
28,Joliette - Dunkerque,43.30536824089319,5.367343057645485,0.0,,bike station
29,Les Docks - Terrasses du Port,43.30570589746745,5.365654336110538,1.0,,bike station
30,Saint Charles - Faculté,43.30460633,5.379025685,2.0,,bike station
31,Hôpital Européen,43.30903370006192,5.371782666402396,2.0,,bike station
32,National - Hoche,43.3111250012872,5.377624232911899,8.0,,bike station
33,National Métro,43.31481127254133,5.37310339134342,2.0,,bike station
34,Place Cadenat,43.3117222,5.387246838,5.0,,bike station
35,Friche Belle de Mai,43.30958896,5.390258304,1.0,,bike station
36,Cinq Avenue Longchamp,43.30427414673173,5.397513231939001,0.0,,bike station
37,Chute Lavie Dahdah,43.30903759621901,5.396545511971453,5.0,,bike station
38,Blancarde - Duparc,43.30275907,5.400792795,1.0,,bike station
39,Chutes Lavie - Guigou,43.31329084715776,5.396838371330546,1.0,,bike station
40,Eglise des Chartreux,43.30937085,5.401449029,8.0,,bike station
41,Saint-Just - Le Dôme,43.31652283667526,5.40436656786892,5.0,,bike station
42,Hôtel de ville,43.29613110303592,5.370772717518662,0.0,,bike station
43,Canebière Saint-Ferreol,43.29626342443967,5.377094272796853,0.0,,bike station
44,Jules Guesde,43.30142931593264,5.374129631885239,0.0,,bike station
45,Notre-Dame - Dragon,43.2869613,5.373784575,2.0,,bike station
46,Plaine - Saint-Pierre,43.29416247655675,5.386291983910837,0.0,,bike station
47,Notre-Dame - Vauban,43.28399833,5.375062072,7.0,,bike station
48,Tivoli - Roosevelt,43.29876369,5.3889733920000005,0.0,,bike station
49,National - Belle de Mai,43.3080124,5.38151142,0.0,,bike station
50,Baille - Friedland,43.28659467,5.386795143,0.0,,bike station
51,Liberation - Isoard,43.30084993931786,5.390856183778169,0.0,,bike station
52,Saint-Pierre - Hugueny,43.291994145747765,5.392906782557929,0.0,,bike station
53,Rouet,43.28350153,5.386470818,1.0,,bike station
54,Libération - Chape - Espérandieu,43.30200819,5.394693835,0.0,,bike station
55,Flammarion- Montricher,43.3059935,5.393687137,0.0,,bike station
56,Place Sébastopol,43.29868093,5.397225175,0.0,,bike station
57,Toulon - Menpenti,43.28446199,5.39212117,0.0,,bike station
58,Place Placide Caffo,43.3135706,5.3848289,1.0,,bike station
59,Briffaut Camas,43.29431413,5.397498439,3.0,,bike station
60,Belle vue,43.31528908746356,5.38034926547175,1.0,,bike station
61,Baille - Hôpital Conception,43.28936349,5.396322259,0.0,,bike station
62,Pierre Roux,43.28572971621563,5.394991516440086,0.0,,bike station
63,Auphan - Vaillant,43.31707549,5.377366738,1.0,,bike station
64,Foch - Fayolle,43.30111738,5.398795435,0.0,,bike station
65,Chave - Sakakini,43.29571281,5.399639378,0.0,,bike station
66,Jean Moulin - Hôpital La Timone,43.29041224963351,5.399632919528813,2.0,,bike station
67,Sakakini - Saint-Pierre,43.29272355,5.401130777,0.0,,bike station
68,Jean Moulin - Sainte Baume,43.28715402,5.39997873,4.0,,bike station
69,Duparc - Brossolette,43.30641234314123,5.40103548654406,7.0,,bike station
70,Bon Secours - Huilerie,43.319935427116775,5.381699103765641,2.0,,bike station
71,Reboul - Argile,43.28078426,5.396621812,2.0,,bike station
72,Sainte-Marthe - Glacière,43.31755747,5.390173087,4.0,,bike station
73,Blancarde - Gare SNCF,43.29626348,5.406009668,3.0,,bike station
74,Place Pol Lapeyre,43.2925709464964,5.40910662501517,7.0,,bike station
75,Sainte-Marthe - Moretti,43.32366978,5.38883641,3.0,,bike station
76,Saint-Barnabé - Haguenau,43.30418846,5.412903941,0.0,,bike station
77,Place Caire,43.30383732,5.41872428,0.0,,bike station
78,Pierre Paraf,43.33044176,5.38914807,4.0,,bike station
79,Augustin Aubert,43.26795854639917,5.402685214151916,1.0,,bike station
80,Parc Corot,43.32346361240647,5.406297409546596,5.0,,bike station
81,Pont de Vivaux,43.2799602511721,5.416624366102042,2.0,,bike station
82,La Boiseraie,43.29552256279197,5.422926314883398,2.0,,bike station
83,Malpassé Métro,43.32004537625261,5.4150457738032864,0.0,,bike station
84,La Fourragère,43.30409626543968,5.425385468108061,0.0,,bike station
85,Saint-Paul - Malpassé,43.32660541953149,5.409903287927591,0.0,,bike station
86,Bois Luzy,43.31078482,5.42430547,2.0,,bike station
87,Lavéran - Diderot,43.3252329242701,5.4143178006645485,2.0,,bike station
88,Montolivet,43.31712055,5.423936023,0.0,,bike station
89,Saint-Jean du Désert,43.29876838180914,5.436430475000634,2.0,,bike station
90,Faculté - Saint-Jerôme,43.33611966260352,5.410320835259142,3.0,,bike station
91,Stade Bombardière,43.31710365325108,5.43681784487967,6.0,,bike station
92,La Criée,43.29274852206981,5.368401671786842,0.0,,bike station
93,Sainte - Notre-Dame,43.291674744737406,5.371582564461846,0.0,,bike station
94,Place de la Corderie,43.29077871,5.371481915,1.0,,bike station
95,République Joliette,43.30304044330242,5.368986802595486,0.0,,bike station
96,Pierre Puget - Breteuil,43.29032689986855,5.375711092245979,0.0,,bike station
97,Endoume - Corderie,43.28918361,5.366407727,4.0,,bike station
98,Estrangin,43.28974291012639,5.378303806996655,0.0,,bike station
99,Pasteur,43.29063067145421,5.359243592567395,0.0,,bike station
100,Livon - Pasteur,43.29199367364626,5.357886145002112,2.0,,bike station
101,Rome - Salvator,43.29099525,5.381360991,0.0,,bike station
102,Rome Sylvabelle,43.29009961628429,5.38126895201026,1.0,,bike station
103,Vallon Jourdan,43.28659309973765,5.363346223953386,1.0,,bike station
104,Place du 4 Septembre,43.28856007,5.358371494,5.0,,bike station
105,Paradis - Vignerons,43.28718443103384,5.379370104893951,2.0,,bike station
106,Plage des Catalans,43.29010343949329,5.356114229700495,6.0,,bike station
